List of Pinball Machines

Title                                              Manufacturer                              Release Date
Volcano                                            Gottlieb                                  September 1981
Black Hole                                         Gottlieb                                  October 1981
Catacomb                                           Stern Electronics                         October 1981
Centaur                                            Bally                                     October 1981
Viper                                              Stern Electronics                         October 1981
Dragonfist                                         Stern Electronics                         November 1981
Elektra                                            Bally                                     December 1981
Hyperball (hybrid game)                            Williams                                  December 1981
Cowboy Eight Ball                                  Taito of Brazil                           1982
Cue                                                Stern Electronics                         1982
Gemini 2000                                        Taito of Brazil                           1982
Iron Maiden                                        Stern Electronics                         January 1982
Joust                                              Williams                                  1982
Mike Bossy the Scoring Machine                     Game Plan                                 January 1982
Shark                                              Taito of Brazil                           1982
Zarza                                              Taito of Brazil                           1982
Orbitor 1                                          Stern Electronics                         February 1982
Vector                                             Bally                                     February 1982
Cerberus                                           Playmatic                                 March 1982
Mr. & Mrs. Pac-Man                                 Bally                                     April 1982
Pinball Champ '82                                  Zaccaria                                  April 1982
Super Nova                                         GamePlan                                  May 1982
Cosmic Gunfight                                    Williams                                  June 1982
Haunted House                                      Gottlieb                                  June 1982
Spectrum                                           Bally                                     June 1982
Devil's Dare                                       Gottlieb                                  August 1982
Speakeasy                                          Bally                                     August 1982
Caveman                                            Gottlieb                                  September 1982
Rocky                                              Gottlieb                                  September 1982
Soccer Kings                                       Zaccaria                                  September 1982
Spain 82                                           Playmatic                                 October 1982
Baby Pac-Man                                       Bally                                     October 11, 1982
Spirit                                             Gottlieb                                  November 1982
Striker                                            Gottlieb                                  November 1982
Defender                                           Williams                                  December 1982
Punk!                                              Gottlieb                                  December 1982
BMX                                                Bally                                     January 1983
Fire Action De Luxe                                Taito of Brazil                           1983
Hawkman                                            Taito                                     1983
Krull                                              Gottlieb                                  February 1983
Pinball                                            Bell Games                                February 1983
Goin' Nuts                                         Gottlieb                                  Unreleased; planned for February 1983
Grand Slam                                         Bally Midway                              March 1983
Q*bert's Quest                                     Gottlieb                                  March 1983
Time Fantasy                                       Williams                                  March 1983
Pinball Champ                                      Zaccaria                                  April 1983
Time Machine                                       Zaccaria                                  April 1983
Super Orbit                                        Gottlieb                                  May 1983
Centaur II                                         Bally                                     June 1983
Royal Flush Deluxe                                 Gottlieb                                  June 1983
Firepower II                                       Williams                                  August 1983
Amazon Hunt                                        Gottlieb                                  September 1983
Farfalla                                           Zaccaria                                  September 1983
Gold Ball                                          Bally Midway                              October 1983
Rack 'Em Up!                                       Mylstar                                   November 1983
Ready...Aim...Fire!                                Mylstar                                   November 1983
Sharp Shooter II                                   GamePlan                                  November 1983
Cosmic Flash                                       Bell Games (Nuova 11) & NSM               1984
Granny and the Gators                              Bally Midway                              January 1984
KZ-26                                              Playmatic                                 1984
Mr. Black                                          Taito                                     January 1984
Nautilus                                           Playmatic                                 January 1984
The Raid                                           Playmatic                                 January 1984
Super Bowl                                         Bell Games                                January 1984
UFO-X                                              Playmatic                                 January 1984
Laser Cue                                          Williams                                  February 1984
X's & O's                                          Bally Midway                              February 1984
Kings of Steel                                     Bally Midway                              March 1984
Attila the Hun                                     Game Plan                                 April 1984
Devil Riders                                       Zaccaria                                  April 1984
Megaaton                                           Playmatic                                 April 1984
Jacks to Open                                      Mylstar                                   May 1984
Alien Star                                         Gottlieb                                  June 1984
Black Pyramid                                      Bally Midway                              July 1984
The Games                                          Mylstar                                   August 1984
El Dorado City of Gold                             Gottlieb                                  September 1984
Magic Castle                                       Zaccaria                                  September 1984
Af-Tor                                             Wico                                      October 1984
Spy Hunter                                         Bally Midway                              October 1984
Touchdown                                          Gottlieb                                  October 1984
Space Shuttle                                      Williams                                  December 1984
Brave Team                                         Inder                                     1985
Champion 85                                        Barni                                     1985
Fantastic World                                    Peyper SA                                 1985
Mad Race                                           Playmatic                                 1985
Robot                                              Zaccaria                                  January 1985
Rock 2500                                          Playmatic                                 January 1985
Star Fire                                          Playmatic                                 1985
Stop Ship                                          Playmatic                                 1985
Trailer                                            Playmatic                                 1985
Fireball Classic                                   Bally Midway                              February 1985
Ice Fever                                          Premier Technology                        February 1985
Agents 777                                         GamePlan                                  March 1985
Sorcerer                                           Williams                                  March 1985
Captain Hook                                       Game Plan                                 April 1985
Cybernaut                                          Bally Midway                              May 1985
Comet                                              Williams                                  June 1985
Bounty Hunter                                      Premier Technology                        July 1985
Clown                                              Zaccaria                                  July 1985
Eight Ball Champ                                   Bally Midway                              August 1985
Andromeda                                          GamePlan                                  September 1985
Tag-Team Pinball                                   Premier Technology                        September 1985
Cyclopes                                           Game Plan                                 October 1985
Rock                                               Premier Technology                        October 1985
Beat the Clock                                     Bally Midway                              November 1985
Alley Cats                                         Williams                                  December 1985
Pool Champion                                      Zaccaria                                  December 1985
Canasta 86                                         Inder                                     1986
Dark Shadow                                        Bell Games (Nuova 11)                     1986
Flash Dragon                                       Playmatic                                 1986
High Speed                                         Williams                                  January 1986
Lap By Lap                                         Inder                                     1986
Mystic Star                                        Zaccaria                                  January 1986
Aqualand                                           Juegos Populares                          February 1986
Blackbelt                                          Zaccaria                                  March 1986
Lady Luck                                          Bally Midway                              March 1986
Raven                                              Premier Technology                        March 1986
Grand Lizard                                       Williams                                  April 1986
Black Belt                                         Bally Midway                              June 1986
Hollywood Heat                                     Gottlieb                                  June 1986
Motordome                                          Bally Midway                              June 1986
Mexico 86                                          Zaccaria                                  July 1986
Road Kings                                         Williams                                  July 1986
Genesis                                            Gottlieb                                  September 1986
Skill Flight                                       Nuova Bell Games                          September 1986
Special Force                                      Bally Midway                              September 1986
Gold Wings                                         Gottlieb                                  October 1986
Pin-Bot                                            Williams                                  October 1986
Strange Science                                    Bally Midway                              November 1986
Zankor                                             Zaccaria                                  December 1986
Moon Light                                         Inder                                     January 1987
Pole Position                                      Sonic                                     1987
Spooky                                             Zaccaria                                  January 1987
Star Wars                                          Sonic                                     1987
Cobra                                              Bell Games (Nuova 11)                     February 1987
Monte Carlo                                        Premier Technology                        February 1987
City Slicker                                       Bally                                     March 1987
F-14 Tomcat                                        Williams                                  March 1987
Hardbody                                           Bally Midway                              April 1987
Spring Break                                       Premier Technology                        April 1987
Laser War                                          Data East                                 May 1987
Arena                                              Premier Technology                        June 1987
Star's Phoenix                                     Zaccaria                                  July 1987
Fire!                                              Williams                                  August 1987
Heavy Metal Meltdown                               Bally Midway                              August 1987
New Star's Phoenix                                 Zaccaria                                  August 1987
Big Guns                                           Williams                                  October 1987
Dungeons & Dragons                                 Bally                                     October 1987
Victory                                            Gottlieb                                  October 1987
Space Station                                      Williams                                  December 1987
Clown                                              Inder                                     1988
Escape from the Lost World                         Bally Midway                              January 1988
Cyclone                                            Williams                                  February 1988
Diamond Lady                                       Gottlieb                                  February 1988
Blackwater 100                                     Bally Midway                              March 1988
Secret Service                                     Data East                                 March 1988
TX-Sector                                          Gottlieb                                  March 1988
Robo-War                                           Premier Technology                        April 1988
Banzai Run                                         Williams                                  May 1988
Party Animal                                       Bally Midway                              May 1988
Dakar                                              Mr. Game                                  June 1988
Swords of Fury                                     Williams                                  June 1988
Taxi                                               Williams                                  August 1988
Torpedo Alley                                      Data East                                 August 1988
Bad Girls                                          Gottlieb                                  November 1988
Excalibur                                          Gottlieb                                  November 1988
Jokerz!                                            Williams                                  December 1988
Time Machine                                       Data East                                 December 1988
Truck Stop                                         Midway (under the Bally brand)            December 1988
Caribbean Cruise                                   Gottlieb & International Concepts         1989
Corsario                                           Inder                                     1989
Big House                                          Gottlieb                                  February 1989
Earthshaker!                                       Williams                                  February 1989
Atlantis                                           Midway                                    April 1989
Hot Shots                                          Premier Technology                        April 1989
Transporter the Rescue                             Midway (under the Bally brand)            April 1989
Black Knight 2000                                  Williams                                  April 4, 1989
Playboy 35th Anniversary                           Data East                                 May 1989
Motor Show                                         Mr. Game                                  June 1989
Bone Busters Inc.                                  Gottlieb                                  August 1989
Police Force                                       Williams                                  August 1989
Monday Night Football                              Data East                                 September 1989
Elvira and the Party Monsters                      Midway                                    October 1989
Bad Cats                                           Williams                                  November 1989
RoboCop                                            Data East                                 November 1989
Lights...Camera...Action!                          Gottlieb                                  December 1989
Mousin' Around!                                    Midway (under the Bally brand)            December 1989
Flip IV                                            Inder                                     1990
Mundial 90                                         Inder                                     1990
The Phantom of the Opera                           Data East                                 January 1990
Whirlwind                                          Williams                                  January 1990
World Cup '90                                      Mr. Game                                  January 1990
Silver Slugger                                     Premier Technology                        February 1990
The Bally Game Show                                Midway (under the Bally brand)            April 1990
Back to the Future the Pinball                     Data East                                 June 1990
Pool Sharks                                        Midway (under the Bally brand)            June 1990
Rollergames                                        Williams                                  June 1990
Vegas                                              Gottlieb                                  July 1990
Deadly Weapon                                      Premier Technology                        September 1990
Diner                                              Williams                                  September 1990
Radical!                                           Midway (under the Bally brand)            September 1990
The Simpsons                                       Data East                                 September 1990
Title Fight                                        Premier Technology                        October 1990
Dr. Dude and His Excellent Ray                     Midway                                    November 1990
FunHouse                                           Williams                                  November 1990
Riverboat Gambler                                  Williams                                  November 1990
Bell Ringer                                        Premier Technology                        December 1990
Nudge-It                                           Premier Technology                        December 1990
Atleta                                             Inder                                     1991
Bugs Bunny's Birthday Ball                         Midway                                    January 1991
Car Hop                                            Gottlieb                                  January 1991
Hoops                                              Gottlieb                                  1991
Checkpoint                                         Data East                                 February 1991
Harley-Davidson                                    Midway (under the Bally brand)            February 1991
The Machine: Bride of Pin-Bot                      Williams                                  February 1991
SlugFest                                           Williams                                  March 1991
Cactus Jack's                                      Gottlieb                                  April 1991
Gilligan's Island                                  Midway                                    May 1991
Teenage Mutant Ninja Turtles                       Data East                                 May 1991
Batman                                             Data East                                 July 1991
Terminator 2: Judgment Day                         Williams                                  July 1991
Class of 1812                                      Gottlieb                                  August 1991
Hurricane                                          Williams                                  August 1991
The Party Zone                                     Midway                                    August 1991
A.G. Soccer-Ball                                   Alvin G. & Co                             October 1991
Star Trek                                          Data East                                 October 1991
Surf 'n Safari                                     Premier Technology                        November 1991
250 cc                                             Inder                                     1992
Metal Man                                          Inder                                     1992
Hook                                               Data East                                 January 30, 1992
The Getaway: High Speed II                         Williams                                  February 2, 1992
The Addams Family                                  Midway                                    March 1992
Operation: Thunder                                 Premier Technology                        March 1992
Super Mario Bros.                                  Gottlieb                                  April 25, 1992
Lethal Weapon 3                                    Data East                                 June 1992
Super Mario Bros. Mushroom World                   Premier Technology                        June 1992
Black Rose                                         Midway (under the Bally brand)            July 1992
Doctor Who                                         Midway                                    September 1992
A.G. Football                                      Alvin G. & Co                             October 1992
Cue Ball Wizard                                    Premier Technology                        October 1992
Fish Tales                                         Williams                                  October 1992
Star Wars                                          Data East                                 October 15, 1992
Al's Garage Band Goes On World Tour                Alvin G. & Co                             December 1992
Creature from the Black Lagoon                     Midway (under the Bally brand)            December 1992
Bushido                                            Inder                                     1993
White Water                                        Williams                                  January 1993
Adventures of Rocky and Bullwinkle and Friends     Data East                                 February 1, 1993
Street Fighter II                                  Premier Technology                        March 1993
Bram Stoker's Dracula                              Williams                                  April 1993
Twilight Zone                                      Midway (under the Bally brand)            April 5, 1993
Jurassic Park                                      Data East                                 April 26, 1993
Tee'd Off                                          Premier Technology                        May 1993
Indiana Jones: The Pinball Adventure               Williams                                  August 1993
Last Action Hero                                   Data East                                 August 9, 1993
Judge Dredd                                        Midway (under the Bally brand)            September 1993
Mystery Castle                                     Alvin G. & Co                             September 1993
Punchy the Clown                                   Alvin G. & Co                             September 1993
Wipe Out                                           Premier Technology                        October 1993
Gladiators                                         Gottlieb                                  November 1993
Pistol Poker                                       Alvin G. & Co                             November 1993
Star Trek: The Next Generation                     Williams                                  November 1993
Tales from the Crypt                               Data East                                 November 4, 1993
Sir Lancelot                                       Peyper SA                                 1994
The Who's Tommy Pinball Wizard                     Data East                                 January 8, 1994
Demolition Man                                     Williams                                  February 1994
Popeye Saves the Earth                             Midway (under the Bally brand)            February 1994
World Challenge Soccer                             Premier Technology                        February 1994
World Cup Soccer                                   Midway (under the Bally brand)            February 1994
First Toon To The Moon                             Skee-Ball                                 March 1994
Bullseye                                           Gottlieb                                  April 1994
WWF Royal Rumble                                   Data East                                 April 11, 1994
Rescue 911                                         Premier Technology                        May 1994
Guns N' Roses                                      Data East                                 June 20, 1994
The Flintstones                                    Williams                                  July 1994
Corvette                                           Bally                                     August 1994
Maverick The Movie                                 Data East                                 September 25, 1994
Freddy A Nightmare on Elm Street                   Premier Technology                        October 1994
Red & Ted's Road Show                              Williams                                  October 1994
The Shadow                                         Midway (under the Bally brand)            November 1994
Mach 2.0 Two                                       Spinball S.A.L.                           1995
Mary Shelley's Frankenstein                        Sega Pinball                              January 1995
Baywatch                                           Sega Pinball                              February 1995
Shaq Attaq                                         Premier Technology                        February 1995
Dirty Harry                                        Williams                                  March 1995
Stargate                                           Premier Technology                        March 1995
Theatre of Magic                                   Midway (under the Bally brand)            March 1995
No Fear: Dangerous Sports                          Williams                                  May 1995
Frank Thomas' Big Hurt                             Gottlieb                                  June 1995
Indianapolis 500                                   Midway (under the Bally brand)            June 1995
Batman Forever                                     Sega Pinball                              July 1995
Johnny Mnemonic                                    Williams                                  August 8, 1995
Who Dunnit                                         Midway (under the Bally brand)            September 1995
Apollo 13                                          Sega Pinball                              October 1995
Jack-Bot                                           Williams                                  October 1995
Pinball Magic                                      Capcom Coin-Op                            October 1995
Strikes 'N Spares                                  Premier Technology                        October 1995
Waterworld                                         Gottlieb                                  October 1995
Congo                                              Williams                                  November 1995
Attack from Mars                                   Midway (under the Bally brand)            December 1995
Mario Andretti                                     Premier Technology                        December 1995
Dona Elvira 2                                      Petaco                                    1996
Io Moon                                            Petaco                                    1996
Jolly Park                                         Spinball S.A.L.                           1996
Verne's World                                      Spinball S.A.L.                           1996
Airborne                                           Capcom Coin-Op                            March 1996
GoldenEye                                          Sega Pinball                              March 1996
Safe Cracker                                       Midway (under the Bally brand)            March 1996
Ticket Tac Toe                                     Williams                                  March 1996
Barb Wire                                          Gottlieb                                  April 1996
Twister                                            Sega Pinball                              April 1996
Breakshot                                          Capcom Coin-Op                            May 1996
Tales of the Arabian Nights                        Williams                                  May 1996
Independence Day                                   Sega Pinball                              July 1996
Scared Stiff                                       Midway (under the Bally brand)            September 1996
Flipper Football                                   Capcom Coin-Op                            October 1996
Junk Yard                                          Williams                                  December 1996
Kingpin                                            Capcom Coin-Op                            December 1996
Space Jam                                          Sega Pinball                              December 6, 1996
Tally-Hoo                                          Peyper SA                                 1997
NBA Fastbreak                                      Midway                                    March 1997
Star Wars Trilogy                                  Sega Pinball                              March 3, 1997
Medieval Madness                                   Williams                                  June 1997
The Lost World: Jurassic Park                      Sega Pinball                              June 6, 1997
The X-Files                                        Sega Pinball                              September 9, 1997
Cirqus Voltaire                                    Midway (under the Bally brand)            October 1997
No Good Gofers                                     Williams                                  December 1997
Starship Troopers                                  Sega Pinball                              December 1997
Viper Night Drivin'                                Sega Pinball                              1998
The Champion Pub                                   Bally                                     April 1998
Lost in Space                                      Sega Pinball                              May 1998
Golden Cue                                         Sega Pinball                              June 1998
Monster Bash                                       Williams                                  July 1998
Godzilla                                           Sega Pinball                              August 1998
Cactus Canyon                                      Midway (under the Bally brand)            October 1998
Revenge from Mars                                  Midway (under the Bally brand)            1999
Star Wars Episode I                                Williams                                  1999
South Park                                         Sega Pinball                              February 1999
Harley-Davidson                                    Sega Pinball / Stern Pinball              September 1999
Striker Xtreme                                     Stern Pinball                             January 2000
Sharkey's Shootout                                 Stern Pinball                             September 2000
High Roller Casino                                 Stern Pinball                             January 2001
Austin Powers                                      Stern Pinball                             June 2001
Monopoly                                           Stern Pinball                             September 2001
NFL                                                Stern Pinball                             November 2001
Playboy                                            Stern Pinball                             January 2002
RollerCoaster Tycoon                               Stern Pinball                             August 2002
The Simpsons Pinball Party                         Stern Pinball                             February 14, 2003
Terminator 3: Rise of the Machines                 Stern Pinball                             June 2003
The Lord of the Rings                              Stern Pinball                             December 2003
Vacation America                                   Churchill                                 December 2003
Ripley's Believe It or Not!                        Stern Pinball                             March 18, 2004
Elvis                                              Stern Pinball                             August 2004
Grand Prix                                         Stern Pinball                             2005
The Sopranos                                       Stern Pinball                             February 2005
NASCAR                                             Stern Pinball                             August 1, 2005
World Poker Tour                                   Stern Pinball                             February 2006
Pirates of the Caribbean                           Stern Pinball                             July 2006
Dale Jr.                                           Stern Pinball                             2007
Family Guy                                         Stern Pinball                             2007
Big Bang Bar                                       PMI                                       June 2007
Spider-Man                                         Stern Pinball                             June 2007
Wheel of Fortune                                   Stern Pinball                             October 2007
Indiana Jones                                      Stern Pinball                             April 2008
Shrek                                              Stern Pinball                             April 2008
Batman (The Dark Knight)                           Stern Pinball                             July 21, 2008
CSI: Crime Scene Investigation                     Stern Pinball                             November 2008
24                                                 Stern Pinball                             February 2009
NBA                                                Stern Pinball                             May 2009
Big Buck Hunter                                    Stern Pinball                             September 2009
Iron Man                                           Stern Pinball                             April 2010
New Canasta                                        MarsaPlay                                 April 2010
Avatar                                             Stern Pinball                             September 2010
Transformers                                       Stern Pinball                             2011
Tron: Legacy                                       Stern Pinball                             2011
Rolling Stones                                     Stern Pinball                             February 2011
Avengers                                           Stern Pinball                             2012
X-Men                                              Stern Pinball                             2012
AC/DC                                              Stern Pinball                             March 2012
Metallica                                          Stern Pinball                             2013
Star Trek                                          Stern Pinball                             January 2013
The Wizard of Oz                                   Jersey Jack Pinball                       April 2013
America's Most Haunted                             Spooky Pinball                            April 2014
Mustang                                            Stern Pinball                             April 2014
The Walking Dead                                   Stern Pinball                             November 2014
Wrestlemania                                       Stern Pinball                             January 2015
Medieval Madness (Remake)                          Chicago Gaming Company                    March 2015
Whoa Nellie! Big Juicy Melons                      Stern Pinball/WhizBang Pinball            March 2015
Kiss                                               Stern Pinball                             May 2015
Captain Nemo                                       Quetzal Pinball                           June 2015
Full Throttle                                      Heighway Pinball                          June 2015
Game of Thrones                                    Stern Pinball                             October 2015
Magic Girl                                         Zidware/American Pinball                  2016
Rob Zombie's Spookshow International               Spooky Pinball                            February 2016
The Hobbit                                         Jersey Jack Pinball                       March 2016
The Big Lebowski Pinball                           Dutch Pinball                             April 2016
Ghostbusters                                       Stern Pinball                             May 2016
Domino's Spectacular Pinball Adventure             Spooky Pinball                            July 2016
The Pabst Can Crusher                              Stern Pinball                             July 2016
Batman '66                                         Stern Pinball                             December 2016
Aerosmith                                          Stern Pinball                             January 2017
Barnyard                                           Multimorphic                              2017
Lexy Lightspeed: Secret Agent Showdown             Multimorphic                              2017
Alien                                              Heighway Pinball, Pinball Brothers        February 2017
The Jetsons                                        Spooky Pinball                            February 2017
Attack from Mars (Remake)                          Chicago Gaming Company                    March 2017
Star Wars                                          Stern Pinball                             June 2017
Lexy Lightspeed: Escape from Earth                 Multimorphic                              July 2017
Cannon Lagoon                                      Multimorphic                              July 28, 2017
Dialed In!                                         Jersey Jack Pinball                       August 2017
Guardians of the Galaxy                            Stern Pinball                             October 2017
Total Nuclear Annihilation                         Spooky Pinball                            October 2017
Houdini: Master of Mystery                         American Pinball                          December 2017
Grand Slam Rally                                   Multimorphic                              2018
Pirates of the Caribbean                           Jersey Jack Pinball                       2018
Supreme                                            Stern Pinball                             2018
Thunderbirds                                       Homepin Taiwan Co. Ltd.                   2018
Alice Cooper's Nightmare Castle                    Spooky Pinball                            March 2018
Iron Maiden                                        Stern Pinball                             March 2018
Primus                                             Stern Pinball                             March 2018
Cosmic Cart Racing                                 Multimorphic                              June 2018
The Mafia                                          Team Pinball                              July 2018
Deadpool                                           Stern Pinball                             August 2018
Monster Bash (Remake)                              Chicago Gaming Company                    October 2018
Oktoberfest: Pinball on Tap                        American Pinball                          October 2018
The Beatles                                        Stern Pinball                             November 2018
Tokyo Perfect Drift                                Quetzal Pinball and STR Pinball           December 2018
Hoopin' It Up                                      Multimorphic                              2019
Munsters                                           Stern Pinball                             January 2019
Black Knight: Sword of Rage                        Stern Pinball                             March 2019
Willy Wonka & The Chocolate Factory                Jersey Jack Pinball                       April 2019
Cosmic Carnival                                    Suncoast Pinball                          July 2019
Jurassic Park                                      Stern Pinball                             July 2019
Elvira's House of Horrors                          Stern Pinball                             September 2019
Stranger Things                                    Stern Pinball                             December 2019
Heist                                              Multimorphic                              2020
Ranger in the Ruins                                Multimorphic                              2020
Rick and Morty                                     Spooky Pinball                            2020
ROCS                                               Multimorphic                              2020
Shoot 'n Scoot                                     Multimorphic                              2020
Star Wars Home Edition                             Stern Pinball                             January 2020
Teenage Mutant Ninja Turtles                       Stern Pinball                             May 2020
Hot Wheels                                         American Pinball                          June 2020
Avengers: Infinity Quest                           Stern Pinball                             September 2020
Guns N' Roses                                      Jersey Jack Pinball                       October 2020
Led Zeppelin                                       Stern Pinball                             December 2020
Heads Up!                                          Multimorphic                              2021
Silver Falls                                       Multimorphic                              2021
Sorcerer's Apprentice                              Multimorphic                              2021
Celts                                              Haggis Pinball                            April 2021
Mandalorian                                        Stern Pinball                             May 2021
Halloween                                          Spooky Pinball                            July 2021
Ultraman: Kaiju Rumble!                            Spooky Pinball                            July 2021
Godzilla                                           Stern Pinball                             September 2021
Jurassic Park Home Game                            Stern Pinball                             October 2021
Legends of Valhalla                                American Pinball                          October 2021
Cactus Canyon (Remake)                             Chicago Gaming Company                    November 2021
Flipper Foxtrot Rhythm Explosion                   Multimorphic                              2022
Rush                                               Stern Pinball                             January 2022
Super Hoop                                         Quetzal Pinball and Bitronic              January 2022
Weird Al's Museum of Natural Hilarity              Multimorphic                              February 2022
Toy Story 4                                        Jersey Jack Pinball                       June 2022
Queen                                              Pinball Brothers                          July 2022
James Bond 007                                     Stern Pinball                             September 2022
Fathom Revisited                                   Haggis Pinball                            December 2022
James Bond 007 60th Anniversary                    Stern Pinball                             December 2022
Final Resistance                                   Multimorphic                              2023
Foo Fighters                                       Stern Pinball                             March 2023
Galactic Tank Force                                American Pinball                          March 2023
The Godfather                                      Jersey Jack Pinball                       March 2023
Pulp Fiction                                       Chicago Gaming Company                    March 2023
Scooby-Doo                                         Spooky Pinball                            March 2023
This is Spinal Tap                                 Homepin Taiwan Co. Ltd.                   May 2023
Space Hunt                                         HEXA Pinball                              June 2023
Venom                                              Stern Pinball                             July 2023
Elton John                                         Jersey Jack Pinball                       October 2023
Jim Henson's Labyrinth                             Barrels of Fun                            October 2023
Looney Tunes                                       Spooky Pinball                            December 2023
The Texas Chain Saw Massacre                       Spooky Pinball                            December 2023
Jaws                                               Stern Pinball                             January 3, 2024
The Princess Bride                                 Multimorphic                              February 2024
Barry O's BBQ Challenge                            American Pinball                          March 2024
Ninja Eclipse                                      Turner Pinball                            March 2024
ABBA                                               Pinball Brothers                          April 2024
John Wick                                          Stern Pinball                             May 7, 2024
Avatar: The Battle for Pandora                     Jersey Jack Pinball                       September 2024
The Uncanny X-Men                                  Stern Pinball                             September 2024
Alice's Adventures in Wonderland                   Dutch Pinball                             October 2024
Evil Dead                                          Spooky Pinball                            November 2024
Dungeons & Dragons: The Tyrant's Eye               Stern Pinball                             January 2025
Alice Goes To Wonderland                           Wonderland Amusements                     March 2025
Blues Brothers                                     Homepin Taiwan Co. Ltd.                   March 2025
Merlin's Arcade                                    Turner Pinball                            March 2025
Portal                                             Multimorphic                              March 2025
Dune                                               Barrels of Fun                            April 2025
King Kong: Myth of Terror Island                   Stern Pinball                             May 2025
Harry Potter                                       Jersey Jack Pinball                       June 2025
Predator                                           Pinball Brothers                          June 2025
Star Wars: Fall of the Empire                      Stern Pinball                             September 2025
Winchester Mystery House                           Barrels of Fun                            October 2025

https://en.wikipedia.org/wiki/List_of_pinball_machines
